year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
2017,40110,0,0,1,2017_40110
2013,40150,0,0,1,2013_40150
2014,40150,0,0,0,2014_40150
2015,40150,0,0,0,2015_40150
2016,40150,0,0,0,2016_40150
2017,40150,0,1,1,2017_40150
2017,40290,0,0,0,2017_40290
2013,40400,0,1,1,2013_40400
2014,40400,1,1,1,2014_40400
2015,40400,0,0,0,2015_40400
2016,40400,0,0,0,2016_40400
2017,40400,0,0,0,2017_40400
2016,40420,0,0,1,2016_40420
2017,40420,0,0,0,2017_40420
2014,40480,0,0,1,2014_40480
2015,40480,1,1,1,2015_40480
2016,40480,0,0,1,2016_40480
2017,40480,0,0,0,2017_40480
2014,40550,0,0,1,2014_40550
2015,40550,0,0,1,2015_40550
2016,40550,0,0,0,2016_40550
2017,40550,0,0,0,2017_40550
2014,40720,0,0,0,2014_40720
