,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
35699,2015,3263,0,0,0,1
39228,2016,3263,0,0,0,1
40869,2017,3263,0,0,0,0
35834,2015,3268,0,0,0,0
40276,2016,3268,1,0,1,1
34323,2013,3275,1,0,1,1
37427,2014,3275,1,0,1,1
40747,2015,3275,1,0,1,1
42474,2016,3275,0,0,0,0
24103,2013,3276,1,0,1,1
27556,2014,3276,0,0,0,1
30702,2015,3276,1,0,1,1
34303,2016,3276,0,0,0,1
37568,2017,3276,0,0,0,1
35209,2013,3301,0,0,0,1
27589,2013,3303,0,0,1,1
29757,2014,3303,0,0,1,1
33138,2015,3303,1,0,1,1
35718,2016,3303,0,0,0,0
37799,2017,3303,0,0,1,1
28953,2013,3440,1,0,1,1
31303,2014,3440,0,0,0,0
33615,2015,3440,0,0,0,0
35569,2016,3440,0,0,0,0
38378,2017,3440,0,0,0,1
24488,2013,3446,0,0,0,0
26070,2014,3446,0,0,0,1
30690,2016,3446,0,0,0,1
33503,2017,3446,0,0,0,0
17632,2013,3451,0,0,0,0
17698,2014,3451,0,0,0,0
17821,2015,3451,0,0,0,0
18591,2016,3451,0,0,0,0
20326,2017,3451,0,0,0,0
26162,2013,3452,0,0,1,1
28662,2014,3452,0,0,0,1
30531,2015,3452,0,0,0,0
32501,2016,3452,0,0,0,0
36087,2017,3452,0,0,0,1
15261,2013,3465,0,0,0,0
17099,2014,3465,1,0,1,1
18183,2015,3465,0,0,0,0
20609,2016,3465,1,0,1,1
18692,2013,3470,0,0,0,0
19686,2014,3470,0,0,0,0
18876,2015,3470,0,0,0,0
19139,2016,3470,0,0,0,0
20740,2017,3470,0,0,0,0
1797,2013,3570,0,0,0,0
2816,2014,3570,0,0,0,1
2954,2015,3570,0,0,0,0
2862,2016,3570,0,0,0,0
1424,2017,3570,0,0,0,0
1813,2013,3582,0,0,0,0
2020,2014,3582,0,0,0,0
2224,2015,3582,0,0,0,0
2015,2016,3582,0,0,0,0
1823,2017,3582,0,0,0,0
35056,2013,3809,0,0,0,0
41099,2015,3809,0,0,0,1
47059,2016,3809,1,0,1,1
50110,2017,3809,0,0,0,1
41057,2013,3820,0,0,0,0
43465,2014,3820,0,0,1,1
46137,2015,3820,1,0,1,1
60679,2013,3824,0,0,0,0
61433,2014,3824,0,0,0,0
62412,2015,3824,0,0,0,0
62940,2016,3824,0,0,0,0
63928,2017,3824,0,0,1,1
55882,2015,3826,0,0,0,0
29593,2013,3835,0,0,0,0
28422,2014,3835,0,0,0,0
30037,2015,3835,0,0,0,0
33090,2016,3835,0,0,0,1
37502,2017,3835,0,0,1,1
31081,2013,3839,0,0,0,1
33922,2014,3839,1,0,1,1
36570,2015,3839,0,0,0,0
39054,2016,3839,1,0,1,1
42576,2017,3839,1,0,1,1
51457,2013,3848,0,0,0,1
34912,2013,3851,0,0,0,0
36897,2014,3851,0,0,0,0
38450,2015,3851,0,0,0,0
40992,2016,3851,1,0,1,1
44196,2017,3851,0,0,0,1
48325,2017,3855,0,0,0,1
51366,2014,3865,0,0,0,1
28553,2013,3867,0,0,0,1
31463,2014,3867,0,0,0,1
33638,2015,3867,0,0,0,0
35358,2016,3867,0,0,0,0
38759,2017,3867,0,0,1,1
28266,2013,3868,1,0,1,1
31035,2014,3868,0,0,0,1
32464,2015,3868,0,0,0,0
34978,2016,3868,1,0,1,1
38636,2017,3868,1,0,1,1
44032,2013,3869,0,0,0,0
48056,2015,3869,0,0,0,1
50627,2016,3869,1,0,1,1
56587,2013,3874,0,0,0,0
57050,2014,3874,0,0,0,0
58085,2015,3874,0,0,0,0
60008,2016,3874,1,0,1,1
60807,2017,3874,0,0,0,0
32451,2013,3887,0,0,0,0
33539,2014,3887,0,0,0,0
36387,2015,3887,1,0,1,1
38548,2016,3887,1,0,1,1
41192,2017,3887,0,0,0,1
35763,2014,4002,0,0,0,0
39785,2015,4002,0,0,0,1
24505,2015,4008,0,0,0,0
38076,2013,4009,1,0,1,1
41141,2014,4009,0,0,1,1
43193,2015,4009,0,0,0,0
45213,2016,4009,0,0,0,0
46775,2017,4009,0,0,0,1
39592,2014,4011,0,0,0,0
41883,2015,4011,0,0,0,0
43669,2016,4011,0,0,0,0
45591,2017,4011,0,0,0,1
34368,2013,4015,0,0,0,1
36127,2014,4015,0,0,0,0
38616,2015,4015,0,0,0,0
40549,2016,4015,0,0,0,0
42580,2017,4015,0,0,1,1
39861,2017,4029,0,0,0,0
43264,2013,4040,0,0,1,1
47460,2014,4040,1,0,1,1
48822,2015,4040,0,0,0,0
50209,2016,4040,0,0,0,0
49649,2017,4040,0,0,0,0
52953,2016,4042,0,0,0,1
52367,2017,4042,0,0,0,0
39977,2014,4048,0,0,0,1
42679,2015,4048,1,0,1,1
49923,2016,4048,0,0,0,1
49614,2017,4048,0,0,0,0
39959,2014,4055,0,0,0,1
42457,2015,4055,0,0,0,1
44446,2016,4055,0,0,0,0
45379,2017,4055,0,0,0,0
48025,2014,4072,0,0,0,0
49597,2015,4072,0,0,0,0
46937,2017,4073,0,0,0,0
39161,2013,4076,0,0,0,0
42399,2014,4076,0,0,0,1
43610,2015,4076,0,0,0,0
48205,2016,4076,0,0,0,1
45547,2017,4083,0,0,0,0
41985,2015,4085,0,0,0,1
32900,2013,4092,0,0,0,1
34865,2014,4092,0,0,0,0
39568,2015,4092,0,0,0,1
41154,2016,4092,0,0,0,0
42500,2017,4092,1,0,1,1
18286,2013,4252,0,0,0,1
33448,2015,4287,0,0,0,0
34669,2016,4287,0,0,0,0
35868,2017,4287,0,0,0,0
7615,2013,4345,0,0,0,1
8485,2014,4345,0,0,0,0
9233,2015,4345,0,0,0,0
11305,2016,4345,0,0,0,0
13112,2017,4345,0,0,0,1
29238,2016,4357,0,0,0,0
30995,2017,4357,0,0,0,1
6131,2013,4468,0,0,0,0
7241,2014,4468,0,0,0,1
9369,2015,4468,0,0,1,1
11743,2016,4468,1,0,1,1
13101,2017,4468,0,0,0,0
23533,2013,4530,0,0,0,0
24132,2014,4530,0,0,0,0
22930,2015,4530,0,0,0,0
24322,2016,4530,0,0,0,0
25346,2017,4530,0,0,0,0
44234,2015,5404,0,0,1,1
45701,2016,5404,0,0,1,1
46917,2017,5404,0,0,0,1
38847,2017,5478,0,0,1,1
34334,2013,6010,0,0,0,0
35421,2014,6010,0,0,0,0
36950,2015,6010,0,0,0,0
