gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,0,0,12,2,4,2,5,6,2,12,9,7,6,0,0,1,2,0
1,1,1,20,7,5,2,9,10,5,14,12,9,3,0,0,2,3,1
0,0,0,24,12,9,7,13,16,5,13,20,8,6,0,1,2,3,1
0,0,0,25,13,14,5,14,12,7,16,19,9,8,1,1,1,5,2
0,0,1,25,15,15,4,16,15,6,18,21,11,13,1,2,3,6,2
0,0,1,59,30,21,4,9,11,16,15,10,12,19,4,6,16,5,7
1,1,1,64,37,28,10,11,13,16,15,12,12,24,4,10,16,7,8
0,0,1,89,49,31,10,11,19,19,17,14,15,24,9,11,24,7,14
0,0,1,90,47,27,12,24,22,20,19,18,17,24,9,12,21,11,15
0,1,1,91,53,33,12,23,21,17,20,17,19,30,7,10,22,10,15
0,0,0,19,7,7,2,4,17,4,2,4,2,2,2,1,1,4,1
0,0,0,18,8,6,2,9,25,4,3,10,2,1,1,3,2,3,2
0,0,0,27,15,10,10,16,32,6,4,5,4,2,3,5,6,5,3
0,1,1,31,16,14,8,16,31,6,6,7,4,1,3,1,6,5,3
0,0,1,34,14,12,7,18,37,5,4,10,2,3,5,3,8,7,3
1,1,1,40,21,18,15,8,13,5,2,3,2,8,5,3,7,3,6
0,0,1,41,27,19,16,9,15,5,4,5,3,7,6,8,7,2,4
0,0,1,45,23,24,23,13,15,6,4,11,3,7,7,6,8,4,5
0,0,1,52,29,23,24,17,14,8,4,13,3,8,7,5,13,4,6
0,0,1,57,28,24,26,19,22,9,6,13,4,10,6,9,14,5,5
0,0,1,21,7,7,5,11,10,2,2,9,2,8,1,4,3,4,0
1,1,1,16,1,2,2,2,1,2,0,4,0,0,4,0,2,3,0
1,1,1,22,3,3,5,5,5,4,0,4,0,2,6,2,7,4,4
0,0,1,23,4,4,3,4,6,3,0,8,0,3,5,4,7,4,3
1,1,1,32,7,8,5,5,6,3,0,3,0,2,7,3,10,3,4
0,0,1,33,8,7,5,13,8,3,0,10,0,2,5,5,12,4,7
0,0,0,46,21,35,11,7,1,10,7,6,7,10,0,6,17,2,6
0,0,1,55,23,44,12,10,9,14,7,10,7,9,3,9,23,1,8
0,0,1,60,29,45,17,24,10,14,7,16,7,15,4,6,24,4,10
0,0,0,64,31,61,20,29,15,14,8,24,7,14,4,10,23,6,10
0,0,1,71,31,63,25,25,14,16,9,24,8,13,8,18,26,7,12
1,1,1,79,29,34,10,21,27,13,12,16,10,35,4,5,13,9,11
1,1,1,87,34,37,13,35,42,16,15,22,12,45,4,4,14,9,12
0,0,1,87,43,49,19,44,46,18,15,24,11,44,5,8,10,12,10
0,0,0,92,50,54,19,51,48,19,16,30,15,47,5,10,14,13,11
0,0,1,97,48,50,25,58,44,20,20,31,18,54,6,10,15,13,13
0,0,0,53,16,18,9,10,17,12,9,10,9,5,6,3,8,5,10
0,0,0,62,26,21,17,19,25,13,10,7,10,7,7,10,12,5,13
0,0,1,66,26,27,15,23,27,12,11,16,11,6,8,10,11,8,13
0,0,1,72,28,32,19,33,24,12,13,21,13,8,10,8,15,8,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
