,Unnamed: 0,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
376,61121,2017,2346,0,0,0,1,2017_23460
377,61346,2016,2351,0,0,0,1,2016_23510
378,54533,2013,2368,0,0,0,0,2013_23680
379,55843,2014,2368,0,0,0,0,2014_23680
380,57057,2015,2368,0,0,0,0,2015_23680
381,58543,2016,2368,0,0,0,1,2016_23680
382,60168,2017,2368,1,0,1,1,2017_23680
383,54409,2013,2370,1,0,1,1,2013_23700
384,56023,2014,2370,0,0,0,1,2014_23700
385,57642,2015,2370,0,0,1,1,2015_23700
386,59181,2016,2370,0,0,0,1,2016_23700
387,60557,2017,2370,1,0,1,1,2017_23700
388,54382,2013,2382,0,0,0,1,2013_23820
389,57671,2015,2382,0,0,0,1,2015_23820
390,59032,2016,2382,1,0,1,1,2016_23820
391,59720,2017,2382,0,0,0,0,2017_23820
392,53844,2013,2532,0,0,0,0,2013_25320
393,55629,2014,2532,1,0,1,1,2014_25320
394,57468,2015,2532,1,0,1,1,2015_25320
395,60023,2016,2532,1,0,1,1,2016_25320
396,61616,2017,2532,0,0,1,1,2017_25320
397,62355,2017,2536,0,0,0,1,2017_25360
398,40784,2013,2538,0,0,0,1,2013_25380
399,43677,2014,2538,0,0,1,1,2014_25380
400,46031,2015,2538,0,0,0,1,2015_25380
401,47967,2016,2538,1,0,1,1,2016_25380
402,50121,2017,2538,0,0,0,1,2017_25380
403,67750,2017,2557,0,0,1,1,2017_25570
404,58235,2013,2559,0,0,0,0,2013_25590
405,43941,2013,2571,1,0,1,1,2013_25710
406,46664,2014,2571,1,0,1,1,2014_25710
407,49074,2015,2571,0,0,0,1,2015_25710
408,51125,2016,2571,1,0,1,1,2016_25710
409,53464,2017,2571,0,0,0,1,2017_25710
410,41363,2013,2601,0,0,0,0,2013_26010
411,44323,2014,2601,0,0,1,1,2014_26010
412,47641,2015,2601,0,0,0,1,2015_26010
413,51023,2016,2601,0,0,1,1,2016_26010
414,53906,2017,2601,0,0,1,1,2017_26010
415,41457,2013,2639,0,0,0,0,2013_26390
416,44412,2014,2639,0,0,0,1,2014_26390
417,46591,2015,2639,0,0,0,0,2015_26390
418,49490,2016,2639,0,0,1,1,2016_26390
419,52010,2017,2639,0,0,0,1,2017_26390
420,51608,2014,2660,0,0,0,0,2014_26600
421,56392,2016,2660,0,0,0,1,2016_26600
422,48032,2013,2664,0,0,0,0,2013_26640
423,50263,2014,2664,0,0,0,0,2014_26640
424,51906,2015,2664,0,0,0,0,2015_26640
425,53996,2016,2664,0,0,0,0,2016_26640
426,56186,2017,2664,0,0,1,1,2017_26640
427,42784,2013,2673,0,0,0,0,2013_26730
428,44867,2014,2673,0,0,0,0,2014_26730
429,47388,2015,2673,0,0,0,0,2015_26730
430,38198,2013,2720,0,0,0,0,2013_27200
431,40484,2014,2720,0,0,0,1,2014_27200
432,43666,2015,2720,0,0,1,1,2015_27200
433,46564,2016,2720,0,0,0,1,2016_27200
434,48908,2017,2720,0,0,0,0,2017_27200
435,37077,2013,2721,0,0,0,0,2013_27210
436,38063,2014,2721,0,0,0,0,2014_27210
437,40854,2015,2721,0,0,0,0,2015_27210
438,43655,2016,2721,1,0,1,1,2016_27210
439,46577,2017,2721,0,0,0,0,2017_27210
440,33370,2013,2723,0,0,0,0,2013_27230
441,35946,2014,2723,0,0,1,1,2014_27230
442,38594,2015,2723,0,0,0,0,2015_27230
443,40830,2016,2723,0,0,0,0,2016_27230
444,43341,2017,2723,0,0,0,0,2017_27230
445,33875,2013,2724,0,0,0,1,2013_27240
446,36827,2014,2724,0,0,1,1,2014_27240
447,39760,2015,2724,0,0,0,0,2015_27240
448,41958,2016,2724,0,0,0,0,2016_27240
449,44213,2017,2724,0,0,0,0,2017_27240
450,27850,2013,2740,0,0,0,1,2013_27400
451,29926,2014,2740,0,0,0,0,2014_27400
452,32889,2015,2740,0,0,0,0,2015_27400
453,35717,2016,2740,0,0,0,0,2016_27400
454,38662,2017,2740,0,0,0,0,2017_27400
455,27752,2013,2744,0,0,0,1,2013_27440
456,30594,2014,2744,0,0,0,1,2014_27440
457,34521,2015,2744,1,0,1,1,2015_27440
458,38514,2016,2744,0,0,0,1,2016_27440
459,41700,2017,2744,0,0,0,0,2017_27440
460,35041,2013,2745,0,0,0,0,2013_27450
461,37420,2014,2745,0,0,0,0,2014_27450
462,41093,2015,2745,1,0,1,1,2015_27450
463,43057,2016,2745,0,0,0,0,2016_27450
464,45276,2017,2745,0,0,0,0,2017_27450
465,27191,2013,2746,1,0,1,1,2013_27460
466,31477,2014,2746,1,0,1,1,2014_27460
467,35129,2015,2746,0,0,1,1,2015_27460
468,37865,2016,2746,0,0,0,0,2016_27460
469,40357,2017,2746,0,0,0,0,2017_27460
470,38875,2013,2838,0,0,0,1,2013_28380
471,41401,2014,2838,0,0,0,1,2014_28380
472,48916,2017,2838,0,0,0,1,2017_28380
473,42347,2014,2859,0,0,0,1,2014_28590
474,22427,2013,2860,0,0,1,1,2013_28600
475,24928,2014,2860,0,0,1,1,2014_28600
476,28504,2015,2860,1,0,1,1,2015_28600
477,31894,2016,2860,1,0,1,1,2016_28600
478,36020,2017,2860,0,0,0,1,2017_28600
479,27508,2013,2861,0,0,0,1,2013_28610
480,30226,2014,2861,0,0,0,1,2014_28610
481,34004,2015,2861,0,0,1,1,2015_28610
482,36636,2016,2861,0,0,0,0,2016_28610
483,40196,2017,2861,0,0,0,1,2017_28610
484,21889,2013,2863,0,0,0,1,2013_28630
485,23800,2014,2863,0,0,0,0,2014_28630
486,26868,2015,2863,0,0,0,1,2015_28630
487,29182,2016,2863,0,0,0,0,2016_28630
488,32764,2017,2863,0,0,1,1,2017_28630
489,45321,2014,2885,0,0,0,0,2014_28850
490,29654,2014,2888,0,0,0,0,2014_28880
491,27839,2013,2893,0,0,0,1,2013_28930
492,30349,2014,2893,0,0,0,1,2014_28930
493,33825,2015,2893,0,0,0,1,2015_28930
494,37488,2016,2893,1,0,1,1,2016_28930
495,40893,2017,2893,0,0,0,1,2017_28930
496,30004,2013,2895,0,0,0,1,2013_28950
497,32846,2014,2895,0,0,0,1,2014_28950
498,36699,2015,2895,0,0,1,1,2015_28950
499,38945,2016,2895,0,0,0,0,2016_28950
500,42122,2017,2895,0,0,0,0,2017_28950
501,25271,2013,2903,0,0,0,0,2013_29030
502,27568,2014,2903,1,0,1,1,2014_29030
503,27185,2013,2904,1,0,1,1,2013_29040
504,29211,2014,2904,0,0,0,0,2014_29040
505,32633,2015,2904,0,0,0,1,2015_29040
506,36132,2016,2904,0,0,0,1,2016_29040
507,40210,2017,2904,1,0,1,1,2017_29040
508,24487,2013,2905,0,0,0,1,2013_29050
509,26796,2014,2905,0,0,0,1,2014_29050
510,29782,2015,2905,0,0,0,0,2015_29050
511,32396,2016,2905,0,0,0,0,2016_29050
512,36334,2017,2905,0,0,0,1,2017_29050
513,13738,2013,2907,0,0,0,1,2013_29070
514,15223,2014,2907,0,0,0,0,2014_29070
515,17534,2015,2907,0,0,0,0,2015_29070
516,19356,2016,2907,0,0,0,0,2016_29070
517,23531,2017,2907,1,0,1,1,2017_29070
518,21750,2013,2908,0,0,1,1,2013_29080
519,23832,2014,2908,0,0,0,1,2014_29080
520,27878,2015,2908,1,0,1,1,2015_29080
521,30518,2016,2908,0,0,0,0,2016_29080
522,33907,2017,2908,0,0,0,0,2017_29080
523,13054,2013,2909,0,0,0,1,2013_29090
524,15098,2014,2909,0,0,0,1,2014_29090
525,17836,2015,2909,0,0,0,1,2015_29090
526,19637,2016,2909,0,0,0,0,2016_29090
